director_id,movie_count,movie_ids
nm1203430,13175,"tt0344018,tt0345404,tt0348342,tt0358858,tt0360270,tt0363402,tt0380738,tt0434658,tt0441955,tt0445107,tt0447740,tt0447769,tt0447783,tt0448299,tt0449673,tt0467235,tt0497253,tt0756176,tt0819757,tt0853801"
nm8467983,13100,"tt10050650,tt10157638,tt10157648,tt10162346,tt10162508,tt10196028,tt10819018,tt10824622,tt10824624,tt10824626,tt10824628,tt10824632,tt10824634,tt10824636,tt10824640,tt10824642,tt10824644,tt10824646,tt10824648,tt10824650"
nm1966600,12368,"tt0278212,tt0401952,tt0401953,tt0401954,tt0461877,tt0809387,tt0816382,tt0853071,tt10025696,tt10025712,tt10025714,tt10025716,tt10025718,tt10025722,tt10025724,tt10025726,tt10025728,tt10025730,tt10029882,tt10029884"
nm1409127,10365,"tt0344642,tt0372051,tt0372651,tt0422876,tt0552365,tt0552366,tt0784866,tt10130780,tt10135226,tt10494344,tt10996662,tt11006954,tt11032312,tt11035136,tt11071980,tt11110758,tt11145758,tt11181170,tt11218004,tt11231682"
nm1667633,8983,"tt0348662,tt0401952,tt0401953,tt0809387,tt10109510,tt10109520,tt10109522,tt10109530,tt10109532,tt10109534,tt10109536,tt10109538,tt10109540,tt10109542,tt10109544,tt10109546,tt10109548,tt10109552,tt10109554,tt10109556"
nm7867124,8495,"tt0278212,tt0401953,tt0461877,tt10014136,tt10014160,tt10014164,tt10014166,tt10014168,tt10014170,tt10014172,tt10014174,tt10014176,tt10014178,tt10014180,tt10014182,tt10014184,tt10014186,tt10014188,tt10014190,tt10014192"
nm1083609,8471,"tt0104563,tt0300835,tt0401937,tt12415430,tt12420910,tt12420916,tt12420918,tt12420920,tt12420922,tt12420924,tt12420928,tt12420932,tt12420934,tt12420936,tt12420938,tt12420940,tt12420944,tt12420946,tt12420950,tt12420952"
nm13220986,8024,"tt0484535,tt16440926,tt16440932,tt16604036,tt16604038,tt16604042,tt16604044,tt16604046,tt16604048,tt16604050,tt16604052,tt16604054,tt16604056,tt16604058,tt16604060,tt16604064,tt16604066,tt16604068,tt16604070,tt16604072"
nm5262331,7988,"tt11358324,tt11896598,tt11915610,tt11915612,tt11915614,tt11915616,tt11915618,tt11915620,tt11915622,tt11915624,tt11915626,tt11915628,tt11915630,tt11915632,tt11915634,tt11915636,tt11915638,tt11915640,tt11915642,tt11915644"
nm5236281,7437,"tt14048524,tt14048528,tt14095490,tt14100412,tt14100436,tt14100438,tt14100442,tt14100444,tt14100446,tt14100448,tt14100450,tt14100452,tt14100456,tt14100458,tt14100460,tt14100464,tt14100468,tt14100470,tt14100472,tt14100474"
nm5239804,7434,"tt14095490,tt14100412,tt14100436,tt14100438,tt14100442,tt14100444,tt14100446,tt14100448,tt14100450,tt14100452,tt14100456,tt14100458,tt14100460,tt14100464,tt14100468,tt14100470,tt14100472,tt14100474,tt14100476,tt14100480"
nm5460792,7360,"tt10001594,tt10001596,tt10001598,tt10001600,tt10001602,tt10001606,tt10001608,tt10001610,tt10001612,tt10001616,tt10001618,tt10001620,tt10001622,tt10001624,tt10001626,tt10001630,tt10001632,tt10001634,tt10001636,tt10001638"
nm0554045,7300,"tt0124251,tt0138226,tt0142057,tt0176368,tt0181228,tt0202750,tt0205646,tt0205680,tt0205691,tt0209535,tt0209554,tt0209556,tt0209576,tt0209599,tt0209602,tt0209603,tt0209606,tt0209620,tt0209632,tt0209634"
nm0051678,6975,"tt0138246,tt0138270,tt0143026,tt0144724,tt0155443,tt0155444,tt0161161,tt0162820,tt0205635,tt0205702,tt0209531,tt0209577,tt0209593,tt0209610,tt0209674,tt0209745,tt0209834,tt0227971,tt0251503,tt0275425"
nm0022750,6888,"tt0041040,tt0042080,tt0042168,tt0043178,tt0043235,tt0044270,tt0044299,tt0048894,tt0048907,tt0063949,tt0063959,tt0068120,tt0071063,tt0073991,tt0083489,tt0094460,tt0127991,tt0133323,tt0135081,tt0179566"
nm2544856,6505,"tt0117367,tt0204094,tt11845034,tt11845036,tt11845046,tt11845048,tt11845052,tt15481490,tt15587862,tt15587866,tt15587870,tt15587874,tt15587886,tt15587890,tt15587892,tt15587898,tt15587908,tt15587914,tt15588018,tt15588030"
nm5727175,6455,"tt10690652,tt10700758,tt10700760,tt10700762,tt10700764,tt10700766,tt10700768,tt10700770,tt10700772,tt10700774,tt10700776,tt10700778,tt10700780,tt10700782,tt10700784,tt10700786,tt10700790,tt10700794,tt10700796,tt10700798"
nm0042771,6421,"tt0109312,tt0135080,tt0138269,tt0138277,tt0138983,tt0143051,tt0144046,tt0144066,tt0147748,tt0169419,tt0204081,tt0205622,tt0205626,tt0205644,tt0205663,tt0205665,tt0205713,tt0206489,tt0208618,tt0208619"
nm1132680,6353,"tt0087305,tt0138217,tt0138227,tt0138241,tt0138260,tt0140730,tt0147796,tt0202770,tt0246398,tt0264312,tt0287231,tt0289033,tt0289800,tt0300746,tt0312198,tt0366046,tt0407377,tt0420449,tt0464768,tt0484241"
nm0565214,6262,"tt0072584,tt0142030,tt0159881,tt0192900,tt0213367,tt0615123,tt0615124,tt0615125,tt0615126,tt0615127,tt0615128,tt0615130,tt0615131,tt0615132,tt0615133,tt0615134,tt0615141,tt0615142,tt0615143,tt0615144"
nm1402433,6194,"tt0335747,tt0369814,tt0372071,tt0372089,tt0372336,tt0409699,tt0441934,tt0452919,tt0479705,tt0691872,tt0820000,tt10062008,tt10069492,tt10102548,tt10140930,tt10163256,tt10176560,tt10249316,tt10282554,tt10317396"
nm15377238,6115,"tt10122614,tt10532962,tt10532966,tt10532972,tt10532974,tt10532976,tt10532978,tt10533018,tt10533036,tt10533050,tt10533062,tt10533068,tt10533074,tt10533086,tt10533094,tt10533112,tt10533128,tt10533130,tt10533132,tt10533144"
nm0723330,5951,"tt0138218,tt0166454,tt0181228,tt0209525,tt0209547,tt0209552,tt0209583,tt0209593,tt0209643,tt0209719,tt0209728,tt0209775,tt0209784,tt0209831,tt0209843,tt0209859,tt0210410,tt0212666,tt0229125,tt0239183"
nm0960965,5935,"tt0278212,tt0853074,tt10222524,tt10227764,tt10227766,tt10227770,tt10227772,tt10227774,tt10227778,tt10227784,tt10227786,tt10227788,tt10227790,tt10227792,tt10227794,tt10227796,tt10227798,tt10227800,tt10227802,tt10227804"
nm0273084,5772,"tt0138222,tt0138256,tt0138274,tt0138278,tt0140769,tt0142049,tt0143026,tt0145602,tt0145612,tt0147796,tt0149450,tt0155443,tt0155444,tt0202726,tt0202770,tt0208640,tt0209531,tt0209564,tt0209587,tt0209610"
nm10604490,5598,"tt0809387,tt0853071,tt10001648,tt10001660,tt10001670,tt10001672,tt10001674,tt10001676,tt10001678,tt10001680,tt10001682,tt10001684,tt10001686,tt10001688,tt10001690,tt10001692,tt10001694,tt10001696,tt10001698,tt10001700"
nm6908650,5571,"tt10317726,tt10321818,tt10321820,tt10321824,tt10321826,tt10321828,tt10321830,tt10321832,tt10321834,tt10321836,tt10321840,tt10321844,tt10321846,tt10321848,tt10321850,tt10321852,tt10321854,tt10321856,tt10321864,tt10321866"
nm0737880,5559,"tt0091643,tt0211767,tt0214363,tt0217193,tt0219434,tt0224856,tt0261478,tt0309194,tt0309211,tt0358792,tt0358797,tt0358839,tt0370101,tt0370149,tt0370168,tt0374384,tt0413592,tt0426794,tt0439344,tt0495927"
nm0107757,5514,"tt0068120,tt0069608,tt0072541,tt0085056,tt0090409,tt0094460,tt0098860,tt0127991,tt0135081,tt0179566,tt0194598,tt0198186,tt0198193,tt0198255,tt0283740,tt0294113,tt0315108,tt0536431,tt0542307,tt0542308"
nm7478784,5481,"tt10199440,tt10199478,tt10199512,tt10199516,tt10199522,tt10209922,tt10441762,tt10441772,tt10441784,tt10441792,tt10441794,tt10731862,tt10910510,tt11034420,tt11760732,tt11777306,tt11777310,tt11777312,tt11777316,tt11777318"
